x,y,z,best_yaw_ang,best_pitch_ang
-291.445,-300.967,2.55438,60,0
-293.15,-296.065,2.45723,60,0
-294.747,-291.275,2.3592,0,0
-296.463,-286.298,2.30397,0,0
-298.09,-281.475,2.25727,330,0
-299.751,-276.573,2.22834,330,0
-301.023,-271.654,2.19685,330,0
-301.479,-266.644,2.17048,330,0
-299.921,-261.768,2.11682,300,0
-296.48,-257.892,2.15012,300,0
-292.337,-255.005,2.16342,300,0
-287.974,-252.044,2.16634,330,0
-283.625,-249.033,2.16465,300,0
-279.446,-246.15,2.13472,300,0
-275.188,-243.107,2.14971,300,0
-270.842,-240.003,2.14754,300,0
-266.665,-236.823,2.12566,300,0
-262.655,-233.687,2.113,180,0
-258.693,-230.358,2.09336,180,0
-254.628,-226.847,2.10364,90,0
-250.658,-223.225,2.09844,330,0
-246.734,-219.474,2.10272,330,0
-243.104,-215.858,2.08999,330,0
-239.486,-212.126,2.09298,330,0
-235.871,-208.202,2.05353,300,0
-232.28,-204.127,2.06675,300,0
-229.004,-200.296,2.08417,300,0
-225.52,-196.02,2.04698,270,0
-222.432,-192.045,2.0404,60,0
-219.424,-187.963,2.05141,60,0
-216.501,-183.861,2.0248,90,0
-213.68,-179.723,2.01122,60,0
-210.962,-175.524,1.99193,60,0
-208.261,-171.305,2.00972,210,0
-205.614,-167.013,2.00567,90,0
-203.092,-162.657,2.01343,60,0
-200.362,-157.895,2.0069,60,0
-197.92,-153.455,1.99964,240,0
-195.554,-149.013,2.01654,180,0
-193.328,-144.533,1.99035,210,0
-191.163,-139.959,1.97193,240,0
-189.105,-135.373,1.9649,240,0
-187.148,-130.713,1.96921,120,0
-185.328,-126.039,1.98945,90,0
-183.58,-121.319,1.99738,120,0
-181.844,-116.227,1.98046,120,0
-180.222,-111.165,1.97646,180,0
-178.722,-106.182,1.96872,210,0
-177.351,-101.164,1.97734,210,0
-176.048,-96.2936,1.95683,210,0
-174.764,-91.135,1.97074,120,0
-173.566,-85.9915,1.99051,150,0
-172.483,-80.7953,2.00149,180,0
-171.482,-75.6427,1.99796,150,0
-170.616,-70.4628,1.99961,150,0
-169.849,-65.4051,2.00856,210,0
-169.205,-60.0959,2.01553,150,0
-168.685,-54.7509,2.01884,150,0
-168.317,-49.7193,2.01282,180,0
-168.029,-44.6539,1.99595,210,0
-167.886,-39.4851,2.00746,210,0
-167.801,-34.2103,2.0089,210,0
-167.892,-28.8107,2.02006,210,0
-167.985,-23.7881,2.02255,210,0
-168.128,-18.6191,2.00461,270,0
-168.448,-13.3517,2.02043,90,0
-168.849,-7.96966,2.00482,90,0
-169.309,-2.97555,2.01103,90,0
-169.902,2.08707,2.03042,60,0
-170.602,7.20353,2.04385,150,0
-171.403,12.3902,2.05322,300,0
-172.333,17.6147,2.07134,300,0
